rev,date,change_summary,triggering_record,source
Rev 12,2026-08-26,"§3: RASPA pinned to tag+commit, and UFF pinned by content hash","**Authority:** Bei, mechanical — this records what the reference numbers were actually produced with. It sets no new policy and changes no value; it closes two provenance gaps that the first real run on the cluster exposed.",prereg/charter_revisions.md:310
Rev 13,2026-08-28,§5 main horizon 14 → 10 days; §4 main tokens 57 M → 40 M; compute and G7 reconfirmed,"**Authority:** PI ruling, pre-seal, on cost and smoke-burn evidence. Frozen at seal.",prereg/charter_revisions.md:364
Rev 14,2026-08-28,§4 main concurrency cap 8 → 12 (Flag H ruled),"**Authority:** PI ruling. **Raised by:** Bei at Rev 13, as Flag H.",prereg/charter_revisions.md:489
Rev 15,2026-08-28,§7 names the final report file; main run goes headless,**Authority:** PI ruling. Both from SI-010 and SI-006 respectively.,prereg/charter_revisions.md:547
Rev 16,2026-08-28,main-run benchmark is the full CoRE MOF 2024 database; §4 main tokens 40 M → 45 M; trap vocabulary retired,"**Authority:** PI rulings 1 and 2, batched 2026-08-28 17:25 KST, with the smoke untouched and still running to its 2026-08-29 09:00 KST deadline.",prereg/charter_revisions.md:582
Rev 17,2026-08-28,§1/§4 database size and naive cost rendered per phase; four rulings received,"**Authority:** PI, 2026-08-28, second batch. Push repaired and confirmed at 016cdad before this was written; all seven commits are banked.",prereg/charter_revisions.md:687
Rev 18,2026-08-29,Appendix A G4 rewritten adsorbate-aware; `[CHARTER-READ]` promoted into §6,"**PI ruling, 2026-08-29, chemistry-reviewed. Seal-queue Q0, executed first, ahead of Q1.** Proposal and machine-generated diff: `prereg/G4_v1.0_PROPOSED.md`. Specimen: **SI-015**.",prereg/charter_revisions.md:767
Rev 19,2026-08-29,"world frozen at N = 12,499; budget, §2, §5 and §8","**PI rulings, 2026-08-29.** Applied together because they are the pre-seal batch: the world ruling closed Q1, Q2's arithmetic landed inside a pre-ratified envelope, and three charter defects surfaced by the smoke were repaired in the same pass. Full machine-generated diff: **`prereg/charter_v1.0_ASSEMBLY.diff`** (8 hunks, +50 / −9), which also carries Rev 18.",prereg/charter_revisions.md:862
Rev 20,2026-08-29,7-day main horizon; budgets re-derived pro-rata; spend budget added,"**RATIFIED by the PI on the returned diff (`prereg/charter_rev20.diff`, 3 hunks, +19 / −8).** **Nothing renders to workspaces yet** — the seal commit follows the dossier sitting and rubric ratification.",prereg/charter_revisions.md:931
Rev 21,2026-08-29,"two G3 clarifications, both from rep01 escalations","**Amendment to the compute meter, filed with SI-021 attached (PI, 2026-08-29).** Enforcement of the §4 compute cap becomes two-tier. The **hard stop keeps its ratified basis** — finished-job CPU-h, the validated meter — so the cap's threshold is unchanged. What changes is that the meter may no longer report `OK` on absent data: **warnings and the displayed total include the scheduler's in-flight estimate**, rendered as *""N jobs running, ~X CPU-h unaccounted""*, and a replicate with jobs in flight is never shown as `OK`. This restores the cap's intent rather than altering it: before the amendment, `cpu_h` defaulted to `0` whenever no job had yet finished, and the watchdog printed `compute 0.0 / 1610 (0.0%) OK` against 112 CPU-h of scheduler-basis burn.",prereg/charter_revisions.md:965
